Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,Country
SCHW,Charles Schwab Corporation,reports,Financials,Investment Banking & Brokerage,"Westlake, Texas",02/06/1997,316709,1971,USA
CHTR,Charter Communications,reports,Communication Services,Cable & Satellite,"Stamford, Connecticut",08/09/2016,1091667,1993,USA
CVX,Chevron Corp.,reports,Energy,Integrated Oil & Gas,"San Ramon, California",04/03/1957,93410,1879,USA
CMG,Chipotle Mexican Grill,reports,Consumer Discretionary,Restaurants,"Newport Beach, California",28/04/2011,1058090,1993,USA
CB,Chubb Limited,reports,Financials,Property & Casualty Insurance,"Zurich, Switzerland",15/07/2010,896159,1985,Switzerland
CHD,Church & Dwight,reports,Consumer Staples,Household Products,"Ewing, New Jersey",29/12/2015,313927,1847,USA
CI,Cigna,reports,Health Care,Managed Health Care,"Bloomfield, Connecticut",30/06/1976,1739940,1982,USA
CINF,Cincinnati Financial,reports,Financials,Property & Casualty Insurance,"Fairfield, Ohio",18/12/1997,20286,1950,USA
CTAS,Cintas Corporation,reports,Industrials,Diversified Support Services,"Mason, Ohio",01/03/2001,723254,1929,USA
CSCO,Cisco Systems,reports,Information Technology,Communications Equipment,"San Jose, California",01/12/1993,858877,1984,USA
C,Citigroup Inc.,reports,Financials,Diversified Banks,"New York, New York",31/05/1988,831001,1998,USA
CFG,Citizens Financial Group,reports,Financials,Regional Banks,"Providence, Rhode Island",29/01/2016,759944,1828,USA
CTXS,Citrix Systems,reports,Information Technology,Application Software,"Fort Lauderdale, Florida",01/12/1999,877890,1989,USA
CLX,The Clorox Company,reports,Consumer Staples,Household Products,"Oakland, California",31/03/1969,21076,1913,USA
CME,CME Group Inc.,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",11/08/2006,1156375,1848,USA
CMS,CMS Energy,reports,Utilities,Multi-Utilities,"Jackson, Michigan",03/05/1999,811156,1886,USA
KO,Coca-Cola Company,reports,Consumer Staples,Soft Drinks,"Atlanta, Georgia",04/03/1957,21344,1886,USA
CTSH,Cognizant Technology Solutions,reports,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",17/11/2006,1058290,1994,USA
CL,Colgate-Palmolive,reports,Consumer Staples,Household Products,"New York, New York",04/03/1957,21665,1806,USA
CMCSA,Comcast Corp.,reports,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",19/11/2002,1166691,1963,USA
CMA,Comerica Inc.,reports,Financials,Diversified Banks,"Dallas, Texas",01/12/1995,28412,1849,USA
CAG,Conagra Brands,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",31/08/1983,23217,1919,USA
COP,ConocoPhillips,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",04/03/1957,1163165,2002,USA
ED,Consolidated Edison,reports,Utilities,Electric Utilities,"New York, New York",,1047862,1823,USA
STZ,Constellation Brands,reports,Consumer Staples,Distillers & Vintners,"Victor, New York",01/07/2005,16918,1945,USA
COO,The Cooper Companies,reports,Health Care,Health Care Supplies,"San Ramon, California",23/09/2016,711404,1958,USA
CPRT,Copart Inc,reports,Industrials,Diversified Support Services,"Dallas, Texas",02/07/2018,900075,1982,USA
GLW,Corning Inc.,reports,Information Technology,Electronic Components,"Corning, New York",,24741,1851,USA
CTVA,Corteva,reports,Materials,Fertilizers & Agricultural Chemicals,"Wilmington, Delaware",03/06/2019,1755672,2019,USA
COST,Costco Wholesale Corp.,reports,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",01/10/1993,909832,1976,USA
CCI,Crown Castle,reports,Real Estate,Specialized REITs,"Houston, Texas",14/03/2012,1051470,1994,USA
CSX,CSX Corp.,reports,Industrials,Railroads,"Jacksonville, Florida",30/09/1967,277948,1980,USA
CMI,Cummins Inc.,reports,Industrials,Industrial Machinery,"Columbus, Indiana",31/03/1965,26172,1919,USA
CVS,CVS Health,reports,Health Care,Health Care Services,"Woonsocket, Rhode Island",04/03/1957,64803,1996,USA
DHI,D. R. Horton,reports,Consumer Discretionary,Homebuilding,"Arlington, Texas",22/06/2005,882184,1978,USA
DHR,Danaher Corp.,reports,Health Care,Health Care Equipment,"Washington, D.C.",,313616,1969,USA
DRI,Darden Restaurants,reports,Consumer Discretionary,Restaurants,"Orlando, Florida",,940944,1938,USA
DVA,DaVita Inc.,reports,Health Care,Health Care Facilities,"Denver, Colorado",31/07/2008,927066,1979,USA
DE,Deere & Co.,reports,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",04/03/1957,315189,1837,USA
DAL,Delta Air Lines Inc.,reports,Industrials,Airlines,"Atlanta, Georgia",11/09/2013,27904,1929,USA
XRAY,Dentsply Sirona,reports,Health Care,Health Care Supplies,"Charlotte, North Carolina",14/11/2008,818479,1969,USA
DVN,Devon Energy,reports,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",30/08/2000,1090012,1971,USA
DXCM,DexCom,reports,Health Care,Health Care Equipment,"San Diego, California",12/05/2020,1093557,1999,USA
FANG,Diamondback Energy,reports,Energy,Oil & Gas Exploration & Production,"Midland, Texas",03/12/2018,1539838,2007,USA
DLR,Digital Realty Trust Inc,reports,Real Estate,Specialized REITs,"Austin, Texas",18/05/2016,1297996,2004,USA
DFS,Discover Financial Services,reports,Financials,Consumer Finance,"Riverwoods, Illinois",02/07/2007,1393612,1985,USA
DISCA,"Discovery, Inc. (Series A)",reports,Communication Services,Broadcasting,"New York, New York",01/03/2010,1437107,1985,USA
DISCK,"Discovery, Inc. (Series C)",reports,Communication Services,Broadcasting,"New York, New York",07/08/2014,1437107,1985,USA
DISH,Dish Network,reports,Communication Services,Cable & Satellite,"Meridian, Colorado",13/03/2017,1001082,1980,USA
DG,Dollar General,reports,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",03/12/2012,29534,1939,USA
DLTR,Dollar Tree,reports,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",19/12/2011,935703,1986,USA
D,Dominion Energy,reports,Utilities,Electric Utilities,"Richmond, Virginia",,715957,1983,USA
DPZ,Domino's Pizza,reports,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",12/05/2020,1286681,1960,USA
DOV,Dover Corporation,reports,Industrials,Industrial Machinery,"Downers Grove, Illinois",31/10/1985,29905,1955,USA
DOW,Dow Inc.,reports,Materials,Commodity Chemicals,"Midland, Michigan",01/04/2019,1751788,2019,USA
DTE,DTE Energy Co.,reports,Utilities,Multi-Utilities,"Detroit, Michigan",04/03/1957,936340,1995,USA
DUK,Duke Energy,reports,Utilities,Electric Utilities,"Charlotte, North Carolina",30/06/1976,1326160,1904,USA
DRE,Duke Realty Corp,reports,Real Estate,Industrial REITs,"Indianapolis, Indiana",26/07/2017,783280,1972,USA
DD,DuPont de Nemours Inc,reports,Materials,Specialty Chemicals,"Wilmington, Delaware",02/04/2019,1666700,2017,USA
DXC,DXC Technology,reports,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",04/04/2017,1688568,2017,USA
EMN,Eastman Chemical,reports,Materials,Diversified Chemicals,"Kingsport, Tennessee",01/01/1994,915389,1920,USA
ETN,Eaton Corporation,reports,Industrials,Electrical Components & Equipment,"Dublin, Ireland",,1551182,1911,Ireland
EBAY,eBay Inc.,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",22/07/2002,1065088,1995,USA
ECL,Ecolab Inc.,reports,Materials,Specialty Chemicals,"St. Paul, Minnesota",31/01/1989,31462,1923,USA
EIX,Edison Int'l,reports,Utilities,Electric Utilities,"Rosemead, California",04/03/1957,827052,1886,USA
EW,Edwards Lifesciences,reports,Health Care,Health Care Equipment,"Irvine, California",01/04/2011,1099800,1958,USA
EA,Electronic Arts,reports,Communication Services,Interactive Home Entertainment,"Redwood City, California",22/07/2002,712515,1982,USA
EMR,Emerson Electric Company,reports,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",31/03/1965,32604,1890,USA
ENPH,Enphase Energy,reports,Information Technology,Electronic Components,"Fremont, California",07/01/2021,1463101,2006,USA
ETR,Entergy Corp.,reports,Utilities,Electric Utilities,"New Orleans, Louisiana",04/03/1957,65984,1913,USA
EOG,EOG Resources,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",02/11/2000,821189,1999,USA
EFX,Equifax Inc.,reports,Industrials,Research & Consulting Services,"Atlanta, Georgia",19/06/1997,33185,1899,USA
EQIX,Equinix,reports,Real Estate,Specialized REITs,"Redwood City, California",20/03/2015,1101239,1998,USA
EQR,Equity Residential,reports,Real Estate,Residential REITs,"Chicago, Illinois",03/12/2001,906107,1969,USA
ESS,"Essex Property Trust, Inc.",reports,Real Estate,Residential REITs,"San Mateo, California",02/04/2014,920522,1971,USA
EL,Estée Lauder Companies,reports,Consumer Staples,Personal Products,"New York, New York",05/01/2006,1001250,1946,USA
ETSY,Etsy,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Brooklyn, New York",21/09/2020,1370637,2005,USA
EVRG,Evergy,reports,Utilities,Electric Utilities,"Kansas City, Missouri",05/06/2018,1711269,1909,USA
ES,Eversource Energy,reports,Utilities,Multi-Utilities,"Hartford, Connecticut",,72741,1966,USA
RE,Everest Re Group Ltd.,reports,Financials,Reinsurance,"Hamilton, Bermuda",19/06/2017,1095073,1973,Bermuda
EXC,Exelon Corp.,reports,Utilities,Multi-Utilities,"Chicago, Illinois",04/03/1957,1109357,2000,USA
EXPE,Expedia Group,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",02/10/2007,1324424,1996,USA
EXPD,Expeditors,reports,Industrials,Air Freight & Logistics,"Seattle, Washington",10/10/2007,746515,1979,USA
EXR,Extra Space Storage,reports,Real Estate,Specialized REITs,"Salt Lake City, Utah",19/01/2016,1289490,1977,USA
XOM,Exxon Mobil Corp.,reports,Energy,Integrated Oil & Gas,"Irving, Texas",04/03/1957,34088,1999,USA
FFIV,F5 Networks,reports,Information Technology,Communications Equipment,"Seattle, Washington",20/12/2010,1048695,1996,USA
FB,"Facebook, Inc.",reports,Communication Services,Interactive Media & Services,"Menlo Park, California",23/12/2013,1326801,2004,USA
FAST,Fastenal Co,reports,Industrials,Building Products,"Winona, Minnesota",15/09/2008,815556,1967,USA
FRT,Federal Realty Investment Trust,reports,Real Estate,Retail REITs,"Rockville, Maryland",01/02/2016,34903,1962,USA
FDX,FedEx Corporation,reports,Industrials,Air Freight & Logistics,"Memphis, Tennessee",31/12/1980,1048911,1971,USA
FIS,Fidelity National Information Services,reports,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida",10/11/2006,1136893,1968,USA
FITB,Fifth Third Bancorp,reports,Financials,Regional Banks,"Cincinnati, Ohio",,35527,1858,USA
FE,FirstEnergy Corp,reports,Utilities,Electric Utilities,"Akron, Ohio",,1031296,1997,USA
FRC,First Republic Bank,reports,Financials,Regional Banks,"San Francisco, California",02/01/2019,1132979,1985,USA
FISV,Fiserv Inc,reports,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin",02/04/2001,798354,1984,USA
FLT,FleetCor Technologies Inc,reports,Information Technology,Data Processing & Outsourced Services,"Norcross, Georgia",20/06/2018,1175454,2000,USA
FLIR,FLIR Systems,reports,Information Technology,Electronic Equipment & Instruments,"Wilsonville, Oregon",02/01/2009,354908,1978,USA
FMC,FMC Corporation,reports,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",19/08/2009,37785,1883,USA
F,Ford Motor Company,reports,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",04/03/1957,37996,1903,USA
FTNT,Fortinet,reports,Information Technology,Systems Software,"Sunnyvale, California",11/10/2018,1262039,2000,USA
FTV,Fortive Corp,reports,Industrials,Industrial Machinery,"Everett, Washington",01/07/2016,1659166,2016,USA
FBHS,Fortune Brands Home & Security,reports,Industrials,Building Products,"Deerfield, Illinois",22/06/2016,1519751,1969,USA
FOXA,Fox Corporation (Class A),reports,Communication Services,Movies & Entertainment,"New York, New York",01/07/2013,1754301,1986,USA
FOX,Fox Corporation (Class B),reports,Communication Services,Movies & Entertainment,"New York, New York",18/09/2015,1754301,1986,USA
BEN,Franklin Resources,reports,Financials,Asset Management & Custody Banks,"San Mateo, California",,38777,1947,USA
FCX,Freeport-McMoRan Inc.,reports,Materials,Copper,"Phoenix, Arizona",,831259,1912,USA
GPS,Gap Inc.,reports,Consumer Discretionary,Apparel Retail,"San Francisco, California",31/08/1986,39911,1969,USA
GRMN,Garmin Ltd.,reports,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",12/12/2012,1121788,1989,Switzerland
IT,Gartner Inc,reports,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",05/04/2017,749251,1979,USA
GNRC,Generac Holdings,reports,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",22/03/2021,1474735,1959,USA
GD,General Dynamics,reports,Industrials,Aerospace & Defense,"Falls Church, Virginia",04/03/1957,40533,1899,USA
GE,General Electric,reports,Industrials,Industrial Conglomerates,"Boston, Massachusetts",,40545,1892,USA
GIS,General Mills,reports,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",31/03/1969,40704,1856,USA
GM,General Motors,reports,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",06/06/2013,1467858,1908,USA
GPC,Genuine Parts,reports,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",31/12/1973,40987,1925,USA
GILD,Gilead Sciences,reports,Health Care,Biotechnology,"Foster City, California",01/07/2004,882095,1987,USA
GL,Globe Life Inc.,reports,Financials,Life & Health Insurance,"McKinney, Texas",30/04/1989,320335,1900,USA
GPN,Global Payments Inc.,reports,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",25/04/2016,1123360,2000,USA
GS,Goldman Sachs Group,reports,Financials,Investment Banking & Brokerage,"New York, New York",22/07/2002,886982,1869,USA
GWW,Grainger (W.W.) Inc.,reports,Industrials,Industrial Machinery,"Lake Forest, Illinois",30/06/1981,277135,1927,USA
HAL,Halliburton Co.,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",04/03/1957,45012,1919,USA
HBI,Hanesbrands Inc,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",20/03/2015,1359841,2000,USA
HIG,Hartford Financial Svc.Gp.,reports,Financials,Property & Casualty Insurance,"Hartford, Connecticut",04/03/1957,874766,1810,USA
HAS,Hasbro Inc.,reports,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",30/09/1984,46080,1923,USA
HCA,HCA Healthcare,reports,Health Care,Health Care Facilities,"Nashville, Tennessee",27/01/2015,860730,1968,USA
PEAK,Healthpeak Properties,reports,Real Estate,Health Care REITs,"Long Beach, California",31/03/2008,765880,1985,USA
HSIC,Henry Schein,reports,Health Care,Health Care Distributors,"Melville, New York",17/03/2015,1000228,1932,USA
HSY,The Hershey Company,reports,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",04/03/1957,47111,1894,USA
HES,Hess Corporation,reports,Energy,Integrated Oil & Gas,"New York, New York",31/05/1984,4447,1919,USA
HPE,Hewlett Packard Enterprise,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",02/11/2015,1645590,2015,USA
HLT,Hilton Worldwide Holdings Inc,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",19/06/2017,1585689,1919,USA
HFC,HollyFrontier Corp,reports,Energy,Oil & Gas Refining & Marketing,"Dallas, Texas",18/06/2018,48039,1947,USA
HOLX,Hologic,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts",30/03/2016,859737,1985,USA
HD,Home Depot,reports,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",31/03/1988,354950,1978,USA
HON,Honeywell Int'l Inc.,reports,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",31/03/1964,773840,1906,USA
HRL,Hormel Foods Corp.,reports,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",04/03/2009,48465,1891,USA
HST,Host Hotels & Resorts,reports,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",20/03/2007,1070750,1993,USA
HWM,Howmet Aerospace,reports,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",31/03/1964,4281,2016,USA
HPQ,HP Inc.,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",31/12/1974,47217,1939,USA
HUM,Humana Inc.,reports,Health Care,Managed Health Care,"Louisville, Kentucky",,49071,1961,USA
HBAN,Huntington Bancshares,reports,Financials,Regional Banks,"Columbus, Ohio",,49196,1866,USA
HII,Huntington Ingalls Industries,reports,Industrials,Aerospace & Defense,"Newport News, Virginia",03/01/2018,1501585,2011,USA
IEX,IDEX Corporation,reports,Industrials,Industrial Machinery,"Lake Forest, Illinois",09/08/2019,832101,1988,USA
IDXX,Idexx Laboratories,reports,Health Care,Health Care Equipment,"Westbrook, Maine",05/01/2017,874716,1983,USA
INFO,IHS Markit,reports,Industrials,Research & Consulting Services,"London, United Kingdom",02/06/2017,1598014,1959,United Kingdom
ITW,Illinois Tool Works,reports,Industrials,Industrial Machinery,"Glenview, Illinois",28/02/1986,49826,1912,USA
ILMN,Illumina Inc,reports,Health Care,Life Sciences Tools & Services,"San Diego, California",19/11/2015,1110803,1998,USA
INCY,Incyte,reports,Health Care,Biotechnology,"Wilmington, Delaware",28/02/2017,879169,1991,USA
IR,Ingersoll Rand,reports,Industrials,Industrial Machinery,"Milwaukee, Wisconsin",03/03/2020,1699150,1859,USA
INTC,Intel Corp.,reports,Information Technology,Semiconductors,"Santa Clara, California",31/12/1976,50863,1968,USA
ICE,Intercontinental Exchange,reports,Financials,Financial Exchanges & Data,"Atlanta, Georgia",26/09/2007,1571949,2000,USA
IBM,International Business Machines,reports,Information Technology,IT Consulting & Other Services,"Armonk, New York",04/03/1957,51143,1911,USA
IP,International Paper,reports,Materials,Paper Packaging,"Memphis, Tennessee",04/03/1957,51434,1898,USA
IPG,Interpublic Group,reports,Communication Services,Advertising,"New York, New York",01/10/1992,51644,1930,USA
IFF,International Flavors & Fragrances,reports,Materials,Specialty Chemicals,"New York, New York",31/03/1976,51253,1889,USA
INTU,Intuit Inc.,reports,Information Technology,Application Software,"Mountain View, California",05/12/2000,896878,1983,USA
ISRG,Intuitive Surgical Inc.,reports,Health Care,Health Care Equipment,"Sunnyvale, California",02/06/2008,1035267,1995,USA
IVZ,Invesco Ltd.,reports,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",21/08/2008,914208,1935,USA
IPGP,IPG Photonics Corp.,reports,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",07/03/2018,1111928,1990,USA
IQV,IQVIA Holdings Inc.,reports,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",29/08/2017,1478242,1982,USA
IRM,Iron Mountain Incorporated,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",06/01/2009,1020569,1951,USA
JKHY,Jack Henry & Associates,reports,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",13/11/2018,779152,1976,USA
J,Jacobs Engineering Group,reports,Industrials,Construction & Engineering,"Dallas, Texas",26/10/2007,52988,1947,USA
JBHT,J. B. Hunt Transport Services,reports,Industrials,Trucking,"Lowell, Arkansas",01/07/2015,728535,1961,USA
SJM,JM Smucker,reports,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",06/11/2008,91419,1897,USA
JNJ,Johnson & Johnson,reports,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",30/06/1973,200406,1886,USA
JCI,Johnson Controls International,reports,Industrials,Building Products,"Cork, Ireland",27/08/2010,833444,1885,Ireland
JPM,JPMorgan Chase & Co.,reports,Financials,Diversified Banks,"New York, New York",30/06/1975,19617,1871,USA
JNPR,Juniper Networks,reports,Information Technology,Communications Equipment,"Sunnyvale, California",02/06/2006,1043604,1996,USA
KSU,Kansas City Southern,reports,Industrials,Railroads,"Kansas City, Missouri",24/05/2013,54480,1887,USA
K,Kellogg Co.,reports,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",,55067,1906,USA
KEY,KeyCorp,reports,Financials,Regional Banks,"Cleveland, Ohio",01/03/1994,91576,1825,USA
KEYS,Keysight Technologies,reports,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",06/11/2018,1601046,2014,USA
KMB,Kimberly-Clark,reports,Consumer Staples,Household Products,"Irving, Texas",04/03/1957,55785,1872,USA
KIM,Kimco Realty,reports,Real Estate,Retail REITs,"New Hyde Park, New York",04/04/2006,879101,1958,USA
KMI,Kinder Morgan,reports,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",25/05/2012,1506307,1997,USA
KLAC,KLA Corporation,reports,Information Technology,Semiconductor Equipment,"Milpitas, California",,319201,1975,USA
KHC,Kraft Heinz Co,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",06/07/2015,1637459,1869,USA
KR,Kroger Co.,reports,Consumer Staples,Food Retail,"Cincinnati, Ohio",04/03/1957,56873,1883,USA
LB,L Brands Inc.,reports,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",30/09/1983,701985,1963,USA
LHX,L3Harris Technologies,reports,Industrials,Aerospace & Defense,"Melbourne, Florida",22/09/2008,202058,1895,USA
LH,Laboratory Corp. of America Holding,reports,Health Care,Health Care Services,"Burlington, North Carolina",01/11/2004,920148,1978,USA
LRCX,Lam Research,reports,Information Technology,Semiconductor Equipment,"Fremont, California",29/06/2012,707549,1980,USA
LW,Lamb Weston Holdings Inc,reports,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",03/12/2018,1679273,1950,USA
LVS,Las Vegas Sands,reports,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",03/10/2019,1300514,1988,USA
LEG,Leggett & Platt,reports,Consumer Discretionary,Home Furnishings,"Carthage, Missouri",,58492,1883,USA
LDOS,Leidos Holdings,reports,Industrials,Diversified Support Services,"Reston, Virginia",09/08/2019,1336920,1969,USA
LEN,Lennar Corp.,reports,Consumer Discretionary,Homebuilding,"Miami, Florida",04/10/2005,920760,1954,USA
LLY,Lilly (Eli) & Co.,reports,Health Care,Pharmaceuticals,"Indianapolis, Indiana",31/12/1970,59478,1876,USA
LNC,Lincoln National,reports,Financials,Multi-line Insurance,"Radnor, Pennsylvania",30/06/1976,59558,1905,USA
LIN,Linde plc,reports,Materials,Industrial Gases,"Guildford, Surrey, United Kingdom",01/07/1992,1707925,1879,United Kingdom
LYV,Live Nation Entertainment,reports,Communication Services,Movies & Entertainment,"Beverly Hills, California",23/12/2019,1335258,2010,USA
LKQ,LKQ Corporation,reports,Consumer Discretionary,Distributors,"Chicago, Illinois",23/05/2016,1065696,1998,USA
LMT,Lockheed Martin Corp.,reports,Industrials,Aerospace & Defense,"Bethesda, Maryland",31/07/1984,936468,1995,USA
L,Loews Corp.,reports,Financials,Multi-line Insurance,"New York, New York",,60086,1959,USA
LOW,Lowe's Cos.,reports,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",29/02/1984,60667,1904,USA
LUMN,Lumen Technologies,reports,Communication Services,Alternative Carriers,"Monroe, Louisiana",25/03/1999,18926,1877,USA
LYB,LyondellBasell,reports,Materials,Specialty Chemicals,"Rotterdam, Netherlands",05/09/2012,1489393,2007,Netherlands
MTB,M&T Bank,reports,Financials,Regional Banks,"Buffalo, New York",23/02/2004,36270,1856,USA
MRO,Marathon Oil Corp.,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",01/05/1991,101778,1887,USA
MPC,Marathon Petroleum,reports,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",01/07/2011,1510295,1887,USA
MKTX,MarketAxess,reports,Financials,Financial Exchanges & Data,"New York, New York",01/07/2019,1278021,2000,USA
MAR,Marriott International,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,1048286,1927,USA
MMC,Marsh & McLennan,reports,Financials,Insurance Brokers,"New York, New York",31/08/1987,62709,1905,USA
MLM,Martin Marietta Materials,reports,Materials,Construction Materials,"Raleigh, North Carolina",02/07/2014,916076,1993,USA
MAS,Masco Corp.,reports,Industrials,Building Products,"Livonia, Michigan",30/06/1981,62996,1929,USA
MA,Mastercard Inc.,reports,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",18/07/2008,1141391,1966,USA
MKC,McCormick & Co.,reports,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",,63754,1889,USA
MXIM,Maxim Integrated Products,reports,Information Technology,Semiconductors,"San Jose, California",03/12/2018,743316,1983,USA
MCD,McDonald's Corp.,reports,Consumer Discretionary,Restaurants,"Chicago, Illinois",30/06/1970,63908,1940,USA
MCK,McKesson Corp.,reports,Health Care,Health Care Distributors,"Irving, Texas",,927653,1833,USA
MDT,Medtronic plc,reports,Health Care,Health Care Equipment,"Dublin, Ireland",31/10/1986,1613103,1949,Ireland
MRK,Merck & Co.,reports,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",04/03/1957,310158,1891,USA
MET,MetLife Inc.,reports,Financials,Life & Health Insurance,"New York, New York",,1099219,1868,USA
MTD,Mettler Toledo,reports,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",06/09/2016,1037646,1945,USA
MGM,MGM Resorts International,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",26/07/2017,789570,1986,USA
MCHP,Microchip Technology,reports,Information Technology,Semiconductors,"Chandler, Arizona",07/09/2007,827054,1989,USA
MU,Micron Technology,reports,Information Technology,Semiconductors,"Boise, Idaho",27/09/1994,723125,1978,USA
MSFT,Microsoft Corp.,reports,Information Technology,Systems Software,"Redmond, Washington",01/06/1994,789019,1975,USA
MAA,Mid-America Apartments,reports,Real Estate,Residential REITs,"Memphis, Tennessee",02/12/2016,912595,1977,USA
MHK,Mohawk Industries,reports,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",23/12/2013,851968,1878,USA
TAP,Molson Coors Beverage Company,reports,Consumer Staples,Brewers,"Denver, Colorado",30/06/1976,24545,1873,USA
MDLZ,Mondelez International,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",02/10/2012,1103982,2012,USA
MPWR,Monolithic Power Systems,reports,Information Technology,Semiconductors,"Kirkland, Washington",12/02/2021,1280452,1997,USA
MNST,Monster Beverage,reports,Consumer Staples,Soft Drinks,"Corona, California",28/06/2012,865752,1935,USA
MCO,Moody's Corp,reports,Financials,Financial Exchanges & Data,"New York, New York",,1059556,1909,USA
MS,Morgan Stanley,reports,Financials,Investment Banking & Brokerage,"New York, New York",,895421,1935,USA
MOS,The Mosaic Company,reports,Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",26/09/2011,1285785,1865,USA
MSI,Motorola Solutions Inc.,reports,Information Technology,Communications Equipment,"Chicago, Illinois",,68505,1928,USA
MSCI,MSCI Inc,reports,Financials,Financial Exchanges & Data,"New York, New York",04/04/2018,1408198,1969,USA
NDAQ,"Nasdaq, Inc.",reports,Financials,Financial Exchanges & Data,"New York, New York",22/10/2008,1120193,1971,USA
NTAP,NetApp,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Sunnyvale, California",25/06/1999,1002047,1992,USA
NFLX,Netflix Inc.,reports,Communication Services,Movies & Entertainment,"Los Gatos, California",20/12/2010,1065280,1997,USA
NWL,Newell Brands,reports,Consumer Discretionary,Housewares & Specialties,"Atlanta, Georgia",30/04/1989,814453,1903,USA
NEM,Newmont Corporation,reports,Materials,Gold,"Denver, Colorado",30/06/1969,1164727,1921,USA
NWSA,News Corp (Class A),reports,Communication Services,Publishing,"New York, New York",01/08/2013,1564708,1980,USA
